Date;Calf;Behaviour;Interaction;IDs
07/09/2007 09:42;0;P;S;15L 33L 38L
07/09/2007 13:00;0;D;N;43L 17L
07/09/2007 13:20;0;D;N;9L 10L
08/09/2007 07:39;0;D;N;15L 32L 
08/09/2007 09:05;0;P;S;1L 16L
08/09/2007 09:45;0;DP;S;12L 49L 29L 30L
08/09/2007 10:38;0;DS;N;38L 18L 31L
08/09/2007 11:40;0;P;S;24L 10L 7L 40L
14/09/2007 15:21;0;D;N;16L 49L
14/09/2007 15:33;0;P;S;28L 24L 15L
14/09/2007 17:01;0;P;S;16L 14L
14/09/2007 17:14;0;P;S;1L 30L
15/09/2007 07:25;0;D;S;3L 41L
15/09/2007 07:30;0;D;N;26L 38L
15/09/2007 09:36;0;PS;N;22L 24L 12L
15/09/2007 10:17;0;P;S;18L 28L 15L
10/10/2007 13:29;1;P;S;10L 38L 4L 39L
10/10/2007 14:34;0;S;N;16L 28L
10/10/2007 15:26;0;D;N;48L 41L 17L
10/10/2007 15:42;1;D;N;15L 31L
10/10/2007 15:53;0;P;N;32L 6L
11/10/2007 08:22;1;P;N;14L 10L 17L
11/10/2007 09:12;0;DP;N;16L 30L
11/10/2007 09:39;0;P;N;24L 7L
11/10/2007 10:15;0;P;N;8L 40L 15L
19/10/2007 09:36;0;D;N;43L 6L 42L
19/10/2007 09:44;0;P;S;15L 17L
19/10/2007 11:20;0;D;N;33L 50L 21L
19/10/2007 12:33;0;P;S;32L 9L
19/10/2007 12:47;0;P;N;38L 20L
19/10/2007 13:04;1;P;S;22L 14L
19/10/2007 13:29;1;P;N;10L 7L 8L
19/10/2007 15:21;0;P;S;16L 24L 28L 38L
20/10/2007 07:30;0;P;S;10L 2L 3L
20/10/2007 08:46;0;P;N;39L 28L 8L 1L
20/10/2007 08:54;0;P;S;16L 30L
20/10/2007 09:09;0;P;N;9L 32L
20/10/2007 10:20;1;P;N;19L
03/11/2007 12:30;1;P;N;6L 9L 32L 21L
03/11/2007 13:30;0;D;N;38L 26L
03/11/2007 15:06;0;P;N;14L 11L
03/11/2007 15:12;0;P;N;17L 29L
03/11/2007 15:33;0;P;S;16L 24L 15L
03/11/2007 15:52;0;S;N;40L 30L
03/11/2007 16:07;0;P;S;15L 28L
03/11/2007 16:24;0;P;N;2L 43L
04/11/2007 06:33;0;P;N;30L 24L 11L
04/11/2007 06:55;0;P;N;4L 21L
04/11/2007 07:24;0;P;N;43L 22L
04/11/2007 07:58;0;P;N;9L 32L
08/11/2007 08:12;0;DP;N;6L 38L
08/11/2007 08:45;0;P;S;40L 20L 2L
08/11/2007 09:13;0;D;N;3L 37L
08/11/2007 09:52;0;D;N;50L 33L 18L 39L
08/11/2007 10:13;0;P;N;30L 24L
08/11/2007 10:36;0;P;N;16L 1L
08/11/2007 10:59;0;P;N;4L 32L
08/11/2007 12:05;0;P;N;22L 19L
21/11/2007 11:49;0;P;S;32L 9L
21/11/2007 12:03;0;DP;N;43L 6L
21/11/2007 12:26;0;P;N;37L 39L 22L
21/11/2007 13:08;0;P;S;4L 3L
